number of eigenfunctions values N1,number of eigenfunctions values N2,number of eigenfunctions values N3
22,32,47
21,33,46
21,25,43
22,30,49
21,27,39
21,36,49
21,33,37
22,33,37
21,26,32
21,31,37
20,31,40
21,27,38
21,35,38
21,35,40
21,34,45
21,30,38
23,35,47
15,22,31
16,19,25
15,22,33
14,20,44
17,17,35
16,19,36
15,17,71
17,31,88
15,17,48
15,29,45
16,17,17
16,22,43
15,26,31
14,21,46
22,29,115
22,23,65
20,23,115
21,25,117
19,24,66
19,18,25
15,23,52
14,23,41
18,29,76
18,26,81
17,27,87
15,17,30
17,25,25
18,22,80
20,28,37
16,20,42
15,18,31
18,19,35
17,19,20
16,19,22
17,19,27
19,27,31
16,19,20
16,16,30
17,19,26
17,18,25
17,18,35
16,23,19
17,19,24
16,20,30
17,18,26
16,20,32
16,16,21
17,28,25
17,17,31
16,16,20
17,21,30
18,19,27
18,21,33
17,22,27
16,16,20
15,19,22
17,18,20
17,15,17
17,15,15
17,16,19
16,17,23
16,23,25
16,21,22
16,18,18
17,19,23
16,21,17
16,19,18
17,16,20
18,19,18
16,17,17
16,17,18
19,22,21
16,21,22
16,16,17
32,32,71
32,41,96
32,37,78
32,35,86
30,33,79
31,36,64
31,37,98
30,31,65
30,49,104
31,41,109
31,48,141
30,40,102
31,36,104
31,38,74
32,34,120
31,33,64
32,45,119
34,43,82
18,24,26
17,22,21
16,17,27
15,20,19
19,25,26
18,23,29
18,16,21
15,24,31
16,19,28
19,20,26
16,23,21
16,24,18
16,21,26
17,18,31
16,24,23
16,22,29
25,25,30
19,23,35
15,22,24
16,22,35
15,21,23
18,27,41
19,23,33
14,17,23
15,20,25
15,22,27
15,18,30
16,24,23
18,28,28
15,18,28
17,18,27
15,19,32
15,17,25
16,33,28
17,21,27
13,22,31
13,20,31
13,28,24
15,21,29
15,26,24
14,25,27
13,25,26
13,25,21
14,22,24
13,26,24
13,26,26
15,26,27
15,21,28
14,22,26
15,27,31
15,18,27
16,23,27
15,28,25
14,29,27
13,28,30
15,33,25
15,22,32
13,26,29
13,22,23
13,25,31
14,16,27
14,24,25
13,17,27
14,25,36
15,28,28
15,22,23
14,25,29
13,26,32
13,29,27
13,34,24
14,26,19
14,35,27
15,32,28
15,24,30
15,31,34
15,31,26
14,29,30
13,24,24
15,30,28
14,28,30
11,31,23
11,22,25
12,28,30
13,19,30
11,25,26
13,28,36
12,26,27
14,28,30
12,22,29
11,32,36
12,27,23
13,37,38
12,27,29
12,29,22
11,24,34
13,30,33
13,33,22
11,33,23
12,40,33
14,28,31
12,42,40
11,38,25
11,27,24
13,39,32
11,40,31
11,30,37
11,31,31
11,34,26
11,26,33
13,31,37
16,30,31
13,34,36
12,29,39
12,39,26
12,39,30
12,25,28
12,27,25
11,16,34
12,36,29
11,33,34
13,27,28
12,37,33
12,18,29
12,31,27
17,22,23
16,15,19
16,18,25
15,17,23
15,18,21
16,18,26
15,15,45
21,19,46
16,17,53
18,21,36
16,18,43
21,22,50
17,22,65
16,19,37
25,24,77
15,20,19
15,19,25
16,18,30
15,19,26
15,20,19
16,18,21
15,16,22
15,20,23
15,18,24
15,18,18
15,22,20
16,17,32
15,18,24
17,18,22
16,19,23
15,17,20
18,21,38
15,20,27
15,18,27
16,19,19
16,20,25
15,18,34
15,22,23
15,20,24
15,27,28
14,36,28
14,15,26
15,27,30
13,26,24
13,23,21
14,22,30
14,16,18
14,26,32
16,31,32
14,22,26
13,15,18
13,25,26
14,20,22
15,24,23
14,21,31
16,26,26
14,30,27
15,17,17
13,26,26
14,17,18
14,22,22
14,20,25
15,18,26
14,24,22
13,24,26
16,16,32
15,23,28
14,17,28
14,23,29
14,25,30
